calle,calleClean,name,surname,fiabilidad,gender,wikipedia
J. Gregori,J. Gregori,J.,Gregori,-2,Male,
Avenida Mario Cisneros,Mario Cisneros,Mario,Cisneros,-2,Male,
Mateo Antonio Sbert,Mateo Antonio Sbert,Mateo,Antonio,-2,Male,
Esteban Maradona,Esteban Maradona,Esteban,Maradona,-2,Male,
Pasaje Augusto Deliot,Augusto Deliot,Augusto,Deliot,-2,Male,
García Velloso,García Velloso,García,Velloso,-2,Male,
Avenida Luis Cándido Carballo,Luis Cándido Carballo,Luis,Cándido,-2,Male,
Pasaje Amado Nervo,Amado Nervo,Amado,Nervo,-2,Male,
San Cristobal,San Cristobal,San,Cristobal,-2,Male,
Don Bosco,Don Bosco,Don,Bosco,-2,Male,
Viaducto Ingeniero Emigdio Pinasco,ducto Ingeniero Emigdio Pinasco,ducto,Ingeniero,-2,Male,
Miguel Cervantes,Miguel Cervantes,Miguel,Cervantes,-2,Male,
Luis Candido Carballo,Luis Candido Carballo,Luis,Candido,-2,Male,
Avenida Central Argentino,Central Argentino,Central,Argentino,-2,Male,
Agustín Tosco,Agustín Tosco,Agustín,Tosco,-2,Male,
Hernán Cortés,Hernán Cortés,Hernán,Cortés,-2,Male,
Fernando El Católico,Fernando El Católico,Fernando,El,-2,Male,
Juan de La Cosa,Juan de La Cosa,Juan,de,-2,Male,
Roldan,Roldan,Roldan,,-2,Male,
Juan Vélez,Juan Vélez,Juan,Vélez,-2,Male,
