calle,calle filtrada,calle filtrada2,fiabilidad,gender,wikipedia
Coronel Méndez,Coronel Méndez,,-1.0,Male,
Coronel Molinedo,Coronel Molinedo,,-1.0,Male,
Coronel Molinedo,Coronel Molinedo,,-1.0,Male,
Coronel Murature,Coronel Murature,,-1.0,Male,
Coronel Murguiondo,Coronel Murguiondo,,-1.0,Male,
Coronel Murguiondo,Coronel Murguiondo,,-1.0,Male,
Coronel Niceto Vega,Coronel Niceto Vega,,-1.0,Male,
Coronel Olmos,Coronel Olmos,,-1.0,Male,
Coronel Osorio,Coronel Osorio,,-1.0,Male,
Coronel Perdriel,Coronel Perdriel,,-1.0,Male,
Coronel Pringles,Coronel Pringles,,-1.0,Male,
Coronel Pringles,Coronel Pringles,,-1.0,Male,
Coronel Pringles,Coronel Pringles,,-1.0,Male,
Coronel Riaño,Coronel Riaño,,-1.0,Male,
Coronel Rojas,Coronel Rojas,,-1.0,Male,
Coronel Rondeau,Coronel Rondeau,,-1.0,Male,
Coronel Rondeau,Coronel Rondeau,,-1.0,Male,
Coronel Salvadores,Coronel Salvadores,,-1.0,Male,
Coronel Salvadores,Coronel Salvadores,,-1.0,Male,
