calle,calle filtrada,calle filtrada2,fiabilidad,gender,wikipedia
Avenida General Eugenio Garzón,General Eugenio Garzón,,-0.5,Male,
Carnot,Carnot,,-1.0,Male,
Francisco de los Santos,Francisco de los Santos,,-0.5,Male,
Ángel Falco,Ángel Falco,,-1.0,Male,
José Salgado,José Salgado,,-0.3,Male,
Atilio Ottieri,Atilio Ottieri,,-0.99,Male,
Doctor José María García Pardo,Doctor José María García Pardo,,-0.58,Male,
Caciquillo Artigas,Caciquillo Artigas,,-1.0,Male,
Enrique Fynn,Enrique Fynn,,-0.5,Male,
Bernabé Magariños,Bernabé Magariños,,-0.5,Male,
Juan Pérez de Marchena,Juan Pérez de Marchena,,-0.5,Male,
Eduardo A. Raiz,Eduardo  Raiz,,-1.0,Male,
Matto Grosso,Matto Grosso,,-0.37,Male,
Pasaje Enrique R Erro,Enrique R Erro,,-0.5,Male,
Pasaje José Luis Panizza,José Luis Panizza,,-0.43,Male,
Continuación Teofilo Díaz Covico,Continuación Teofilo Díaz Covico,,-0.99,Male,
Doctor Teófilo Díaz,Doctor Teófilo Díaz,,-0.5,Male,
Plaza Vidiella,Plaza Vidiella,,-0.5,Male,
Albérico Passadore,Albérico Passadore,,-0.5,Male,
Waldemar Hansen,Waldemar Hansen,,-0.5,Male,
Hudson,Hudson,,-0.48,Male,
Juan Mac Coll,Juan Mac Coll,,-0.99,Male,
Doctor Miguel a Paez Formoso,Doctor Miguel a Paez Formoso,,-0.5,Male,
Daniel Zorrilla,Daniel Zorrilla,,-0.5,Male,
Juan Proudfoot,Juan Proudfoot,,-0.99,Male,
Roque Viera,Roque Viera,,-0.47,Male,
Ramón Otero,Ramón Otero,,-0.5,Male,
Carlos Mauricio Pacheco,Carlos Mauricio Pacheco,,-0.99,Male,
Isidro Fynn,Isidro Fynn,,-0.5,Male,
Francisco Pizarro,Francisco Pizarro,,-0.5,Male,
Víctor Damiani,Víctor Damiani,,-0.5,Male,
Rembrandt,Rembrandt,,-0.5,Male,
Alfredo Traversoni,Alfredo Traversoni,,-1.0,Male,
Osiris Rodríguez Castillos,Osiris Rodríguez Castillos,,-0.4,Male,
Camino Monte Sosa,Monte Sosa,,-0.46,Male,
Doctor Matías Alonso Criado,Doctor Matías Alonso Criado,,-1.0,Male,
Camino Vecinal Franco,Vecinal Franco,,-0.5,Male,
Camino Rigel,Rigel,,-0.97,Male,
Camino Coronel Raiz,Coronel Raiz,,-0.5,Male,
Camino Aldebaran,Aldebaran,,-0.5,Male,
Avenida Don Pedro de Mendoza,Don Pedro Mendoza,,-0.49,Male,
Camino Paso del Sauce,Paso Sauce,,-0.5,Male,
Saul Pilchik,Saul Pilchik,,-0.5,Male,
Camino al Paso de la Cruz,al Paso Cruz,,-0.96,Male,
Picasso,Picasso,,-1.0,Male,
Pasaje C Barrio Porvenir,C Barrio Porvenir,,-0.26,Male,
José Bergamin,José Bergamin,,-0.3,Male,
Antonio Taddei,Antonio Taddei,,-0.5,Male,
Arturo Sergio Visca,Arturo Sergio Visca,,-0.5,Male,
Arturo Despouey,Arturo Despouey,,-1.0,Male,
Camino Regulo,Regulo,,-0.5,Male,
