calle,calle filtrada,calle filtrada2,fiabilidad,gender,wikipedia
Calle Diego Benavidez,Diego Benavidez,,-1.0,Male,
Calle Pedro Buitrago,Pedro Buitrago,,-0.5,Male,
Calle Tomás Baldivieso,Tomás Baldivieso,,-1.0,Male,
Calle Juan Polo de Ondegardo,Juan Polo Ondegardo,,-0.99,Male,
Calle Manuel Sanchez de Velasco,Manuel Sanchez Velasco,,-0.5,Male,
Calle Luis de Rivera,Luis Rivera,,-0.5,Male,
Calle Diego Lopez,Diego Lopez,,-1.0,Male,
Calle Saturnino Sanjinez,Saturnino Sanjinez,,-0.49,Male,
Calle Enriquez,Enriquez,,-0.43,Male,
Calle Mariano del Callejo,Mariano Callejo,,-0.5,Male,
Calle Guzmán,Guzmán,,-1.0,Male,
Calle Baltazar de la Cueva,Baltazar Cueva,,-0.49,Male,
Avenida Maximiliano Kolbe,Maximiliano Kolbe,,-0.49,Male,
Avenida Cristo de la Concordia,Cristo Concordia,,-0.49,Male,
Calle Mendoza,Mendoza,,-0.3,Male,
Calle Mar del Plata,Mar Plata,,0.97,Male,
Calle Monseñor O. Arnulfo Romero,Monseñor O. Arnulfo Romero,,-0.41,Male,
Calle Enrique Encinas,Enrique Encinas,,-0.5,Male,
Calle Jimmy Lee Jackson,Jimmy Lee Jackson,,-0.96,Male,
Calle Rutilio Grande,Rutilio Grande,,-0.5,Male,
Calle Joseph de la Fuente,Joseph Fuente,,-0.5,Male,
Calle Ignacio Ellacuria,Ignacio Ellacuria,,-1.0,Male,
Calle Enrique Angelelli,Enrique Angelelli,,-0.5,Male,
Avenida M. Luther King,M. Luther King,,-0.34,Male,
Calle Roberto Alvarado,Roberto Alvarado,,-0.99,Male,
Calle Mauricio Lopez,Mauricio Lopez,,-0.5,Male,
Avenida Pedro de Toledo,Pedro Toledo,,-0.5,Male,
Calle Carlos Flores,Carlos Flores,,-1.0,Male,
Calle Francisco del Rivero,Francisco Rivero,,-0.5,Male,
Calle Micaela Bastidas,Micaela Bastidas,,0.5,Female,https://es.wikipedia.org/wiki/Micaela_Bastidas
Calle José de Almendarez,José Almendarez,,-0.3,Male,
Calle Bartolome Guzman,Bartolome Guzman,,-0.5,Male,
Calle Marcos Escudero,Marcos Escudero,,-0.5,Male,
Calle Baltazar Alquiza,Baltazar Alquiza,,-0.49,Male,
Calle Juan de la Cruz Monje,Juan Cruz Monje,,-0.99,Male,
Calle Melchor de la Barra,Melchor Barra,,-0.49,Male,
Avenida Pedro de Zeballos,Pedro Zeballos,,-1.0,Male,
Calle Nicolas del Campo,Nicolas Campo,,-1.0,Male,
Calle Tomás Barron,Tomás Barron,,-1.0,Male,
Calle San Felipe de Austria,San Felipe Austria,,-0.32,Male,
Avenida Humberto Asín Rivero,Humberto Asín Rivero,,-0.5,Male,
Avenida Blanco Galindo,Blanco Galindo,,-0.45,Male,
Calle Humberto Iporre,Humberto Iporre,,-0.5,Male,
Calle Gilberto Rojas,Gilberto Rojas,,-1.0,Male,
Calle Adrian Patiño,Adrian Patiño,,-0.47,Male,
Calle Mauro Nuñez,Mauro Nuñez,,-0.5,Male,
Calle Héroes Nacionales,Héroes Nacionales,,-1.0,Male,
Calle Juan Pinto,Juan Pinto,,-0.99,Male,
Avenida Bolívar,Bolívar,,-0.5,Male,
Calle Alberto Guizada,Alberto Guizada,,-1.0,Male,
Avenida H. Ronald Veizaga,H. Ronald Veizaga,,-0.49,Male,
Calle Tiburcio Meneses,Tiburcio Meneses,,-0.5,Male,
Avenida Arquimedes,Arquimedes,,-0.5,Male,
Avenida Arquímedes,Arquímedes,,-0.5,Male,
Avenida Amalia Villa de La Tapia,Amalia Villa La Tapia,,1.0,Female,https://es.wikipedia.org/wiki/Amalia_Villa_de_la_Tapia
Avenida Simón Bolivar,Simón Bolivar,,-0.5,Male,
Calle Aniceto Arce,Aniceto Arce,,-0.5,Male,
Calle Mario Mujia,Mario Mujia,,-0.5,Male,
Calle Saavedra,Saavedra,,-0.5,Male,
Calle Juana A. De Padilla,Juana A. De Padilla,,0.99,Female,https://es.wikipedia.org/wiki/Juana_Azurduy
Calle Juan Pablo II,Juan Pablo II,,-0.99,Male,
Calle Jose Rodriguez Rivas,Jose Rodriguez Rivas,,-0.49,Male,
Calle Gabriel García Marquez,Gabriel García Marquez,,-0.49,Male,
Avenida Simón Bolívar,Simón Bolívar,,-0.5,Male,
Calle Adela Zamudio,Adela Zamudio,,1.0,Female,https://es.wikipedia.org/wiki/Adela_Zamudio
Avenida Mariscal de Ayacucho,Mariscal Ayacucho,,-0.5,Male,
Calle Doctor Carlos Aranibar,Doctor Carlos Aranibar,,-0.5,Male,
Calle Doctor José Anaya,Doctor José Anaya,,-0.31,Male,
Calle Doctor Joaquín Salcedo,Doctor Joaquín Salcedo,,-1.0,Male,
Avenida Martín Cárdena,Martín Cárdena,,-0.5,Male,
Calle Doctor José de la Via,Doctor José Via,,-0.33,Male,
Calle Doctor José Barrero,Doctor José Barrero,,-0.33,Male,
Calle Daniel Albornoz,Daniel Albornoz,,-0.5,Male,
Calle Celier Castro Cartagena,Celier Castro Cartagena,,-0.5,Male,
Calle Cleomedes Blanco Galindo,Cleomedes Blanco Galindo,,-0.91,Male,
Calle Francis Peyton Rous,Francis Peyton Rous,,-0.43,Male,
Calle Severo Ochoa,Severo Ochoa,,-0.5,Male,
Calle Thomas H. Morgan,Thomas H. Morgan,,-0.99,Male,
Calle Jose Benigno Sanchez Gonzales,Jose Benigno Sanchez Gonzales,,-0.49,Male,
