calle;calleClean;name;surname;fiabilidad;gender;wikipedia;Revisado;;;;;;;;;;;;;;;;;;
Passatge de Maria Gay i Tibau;Maria Gay i Tibau;Maria;Gay;2;Female;https://es.wikipedia.org/wiki/Maria_Gay_i_Tibau;VERDADERO;;;;;;;;;;;;;;;;;;
Carrer del Carme;Carme;Carme;;2;Female;;VERDADERO;;;;;;;;;;;;;;;;;;
Carrer de Julià de Bolíbar;Julià de Bolíbar;Julià;de;2;Male;;VERDADERO;;;;;;;;;;;;;;;;;;
Carrer d'Isabel la Catòlica;Isabel la Catòlica;Isabel;la;2;Female;https://es.wikipedia.org/wiki/Isabel_I_de_Castilla;VERDADERO;;;;;;;;;;;;;;;;;;
Carrer de les Heroïnes de Santa Bàrbara;Heroïnes Santa Bàrbara;Heroïnes;Santa;2;Female;https://es.wikipedia.org/wiki/La_Compa%C3%B1%C3%ADa_de_Santa_B%C3%A1rbara;VERDADERO;;;;;;;;;;;;;;;;;;
Carrer de Julià de Chia;Julià de Chia;Julià;de;2;Male;;VERDADERO;;;;;;;;;;;;;;;;;;
Carrer de Joan Coromines i Vigneaux;Joan Coromines i Vigneaux;Joan;Coromines;2;Male;;VERDADERO;;;;;;;;;;;;;;;;;;
Carrer de Pau Miranda;Pau Miranda;Pau;Miranda;2;Male;;VERDADERO;;;;;;;;;;;;;;;;;;
Carrer de Carme Auguet i Comalada;Carme Auguet i Comalada;Carme;Auguet;2;Female;;VERDADERO;;;;;;;;;;;;;;;;;;
Carrer d'Aurora Bertrana i Salazar;Aurora Bertrana i Salazar;Aurora;Bertrana;2;Female;https://es.wikipedia.org/wiki/Aurora_Bertrana;VERDADERO;;;;;;;;;;;;;;;;;;
Carrer de Joan Alsina;Joan Alsina;Joan;Alsina;2;Male;;VERDADERO;;;;;;;;;;;;;;;;;;
Plaça Maria Mercè Marçal;Maria Mercè Marçal;Maria;Mercè;2;Female;https://es.wikipedia.org/wiki/Maria_Merc%C3%A8_Mar%C3%A7al;VERDADERO;;;;;;;;;;;;;;;;;;
Carrer Mary Santpere;Mary Santpere;Mary;Santpere;2;Female;https://es.wikipedia.org/wiki/Mary_Santpere;VERDADERO;;;;;;;;;;;;;;;;;;
Carrer Maria Cristina;Maria Cristina;Maria;Cristina;2;Female;;VERDADERO;;;;;;;;;;;;;;;;;;
Carrer Joan Fuster;Joan Fuster;Joan;Fuster;2;Male;;VERDADERO;;;;;;;;;;;;;;;;;;
Carrer Joan Brossa;Joan Brossa;Joan;Brossa;2;Male;;VERDADERO;;;;;;;;;;;;;;;;;;
